file,line,type,commit,author,date,time,timezone,datetime,depth,length
styles.css,47,css,0b2bf368,akuppal,2025-04-11,18:32:33,-07:00,2025-04-11T18:32:33-07:00,0,0
styles.css,48,css,0b2bf368,akuppal,2025-04-11,18:32:33,-07:00,2025-04-11T18:32:33-07:00,0,0
styles.css,49,css,0b2bf368,akuppal,2025-04-11,18:32:33,-07:00,2025-04-11T18:32:33-07:00,0,12
styles.css,50,css,0b2bf368,akuppal,2025-04-11,18:32:33,-07:00,2025-04-11T18:32:33-07:00,0,46
styles.css,51,css,d4eb865d,akuppal,2025-04-18,21:12:29,-07:00,2025-04-18T21:12:29-07:00,0,70
styles.css,52,css,0b2bf368,akuppal,2025-04-11,18:32:33,-07:00,2025-04-11T18:32:33-07:00,0,0
styles.css,53,css,0b2bf368,akuppal,2025-04-11,18:32:33,-07:00,2025-04-11T18:32:33-07:00,0,0
styles.css,54,css,0b2bf368,akuppal,2025-04-11,18:32:33,-07:00,2025-04-11T18:32:33-07:00,0,5
styles.css,55,css,0b2bf368,akuppal,2025-04-11,18:32:33,-07:00,2025-04-11T18:32:33-07:00,0,8
styles.css,56,css,0b2bf368,akuppal,2025-04-11,18:32:33,-07:00,2025-04-11T18:32:33-07:00,0,7
styles.css,57,css,0b2bf368,akuppal,2025-04-11,18:32:33,-07:00,2025-04-11T18:32:33-07:00,0,13
styles.css,58,css,0b2bf368,akuppal,2025-04-11,18:32:33,-07:00,2025-04-11T18:32:33-07:00,0,0
styles.css,59,css,0b2bf368,akuppal,2025-04-11,18:32:33,-07:00,2025-04-11T18:32:33-07:00,0,0
styles.css,60,css,0b2bf368,akuppal,2025-04-11,18:32:33,-07:00,2025-04-11T18:32:33-07:00,0,5
styles.css,61,css,0b2bf368,akuppal,2025-04-11,18:32:33,-07:00,2025-04-11T18:32:33-07:00,0,13
styles.css,62,css,0b2bf368,akuppal,2025-04-11,18:32:33,-07:00,2025-04-11T18:32:33-07:00,0,31
styles.css,63,css,0b2bf368,akuppal,2025-04-11,18:32:33,-07:00,2025-04-11T18:32:33-07:00,0,8
styles.css,64,css,0b2bf368,akuppal,2025-04-11,18:32:33,-07:00,2025-04-11T18:32:33-07:00,0,0
styles.css,65,css,0b2bf368,akuppal,2025-04-11,18:32:33,-07:00,2025-04-11T18:32:33-07:00,0,0
styles.css,66,css,0b2bf368,akuppal,2025-04-11,18:32:33,-07:00,2025-04-11T18:32:33-07:00,0,11
styles.css,67,css,0b2bf368,akuppal,2025-04-11,18:32:33,-07:00,2025-04-11T18:32:33-07:00,0,13
styles.css,68,css,0b2bf368,akuppal,2025-04-11,18:32:33,-07:00,2025-04-11T18:32:33-07:00,0,30
styles.css,69,css,0b2bf368,akuppal,2025-04-11,18:32:33,-07:00,2025-04-11T18:32:33-07:00,0,19
styles.css,70,css,0b2bf368,akuppal,2025-04-11,18:32:33,-07:00,2025-04-11T18:32:33-07:00,0,0
styles.css,71,css,0b2bf368,akuppal,2025-04-11,18:32:33,-07:00,2025-04-11T18:32:33-07:00,0,0
styles.css,72,css,0b2bf368,akuppal,2025-04-11,18:32:33,-07:00,2025-04-11T18:32:33-07:00,0,12
styles.css,73,css,0b2bf368,akuppal,2025-04-11,18:32:33,-07:00,2025-04-11T18:32:33-07:00,0,53
styles.css,74,css,0b2bf368,akuppal,2025-04-11,18:32:33,-07:00,2025-04-11T18:32:33-07:00,0,0
styles.css,75,css,0b2bf368,akuppal,2025-04-11,18:32:33,-07:00,2025-04-11T18:32:33-07:00,0,0
styles.css,76,css,0b2bf368,akuppal,2025-04-11,18:32:33,-07:00,2025-04-11T18:32:33-07:00,0,10
styles.css,77,css,0b2bf368,akuppal,2025-04-11,18:32:33,-07:00,2025-04-11T18:32:33-07:00,0,13
styles.css,78,css,0b2bf368,akuppal,2025-04-11,18:32:33,-07:00,2025-04-11T18:32:33-07:00,0,59
styles.css,79,css,0b2bf368,akuppal,2025-04-11,18:32:33,-07:00,2025-04-11T18:32:33-07:00,0,8
styles.css,80,css,0b2bf368,akuppal,2025-04-11,18:32:33,-07:00,2025-04-11T18:32:33-07:00,0,0
styles.css,81,css,0b2bf368,akuppal,2025-04-11,18:32:33,-07:00,2025-04-11T18:32:33-07:00,0,0
styles.css,82,css,0b2bf368,akuppal,2025-04-11,18:32:33,-07:00,2025-04-11T18:32:33-07:00,0,18
styles.css,83,css,0b2bf368,akuppal,2025-04-11,18:32:33,-07:00,2025-04-11T18:32:33-07:00,0,13
styles.css,84,css,0b2bf368,akuppal,2025-04-11,18:32:33,-07:00,2025-04-11T18:32:33-07:00,0,27
styles.css,85,css,0b2bf368,akuppal,2025-04-11,18:32:33,-07:00,2025-04-11T18:32:33-07:00,0,16
styles.css,86,css,0b2bf368,akuppal,2025-04-11,18:32:33,-07:00,2025-04-11T18:32:33-07:00,0,10
styles.css,87,css,0b2bf368,akuppal,2025-04-11,18:32:33,-07:00,2025-04-11T18:32:33-07:00,0,0
